split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC Summer Groups 2023,51173,2023-07-16,Team Heretics,Team BDS,Team Heretics,1773,8600,380
LEC Summer Groups 2023,51170,2023-07-15,SK Gaming,Fnatic,SK Gaming,1955,12000,493
LEC Summer Groups 2023,51167,2023-07-15,GIANTX,Movistar KOI,GIANTX,1743,8800,1486
LEC Summer Groups 2023,52270,2023-07-23,Team BDS,Team Heretics,Team Heretics,1749,-10100,-524
LEC Summer Groups 2023,52267,2023-07-23,Fnatic,SK Gaming,Fnatic,2098,6600,1516
LEC Summer Groups 2023,51946,2023-07-22,Team Heretics,Movistar KOI,Team Heretics,1716,8800,-63
LEC Summer Groups 2023,51943,2023-07-22,Fnatic,Movistar KOI,Fnatic,2253,3400,-41
LEC Summer Groups 2023,51940,2023-07-17,Team BDS,G2 Esports,G2 Esports,1928,-10700,-1253
LEC Summer Groups 2023,51937,2023-07-17,GIANTX,SK Gaming,SK Gaming,1692,-10000,-3074
LEC Summer Groups 2023,51938,2023-07-17,GIANTX,SK Gaming,GIANTX,1928,10500,-1799
LEC Summer Groups 2023,51177,2023-07-16,Movistar KOI,G2 Esports,G2 Esports,1705,-11500,-834
LEC Summer Groups 2023,51174,2023-07-16,Team BDS,Team Heretics,Team BDS,1578,12300,2426
LEC Summer Groups 2023,51175,2023-07-16,Team Heretics,Team BDS,Team BDS,1595,-9600,-1821
LEC Summer Groups 2023,51171,2023-07-15,Fnatic,SK Gaming,SK Gaming,2087,-10600,-15
LEC Summer Groups 2023,51168,2023-07-15,Movistar KOI,GIANTX,GIANTX,2354,-6300,1395
LEC Summer Playoffs 2023,52565,2023-07-30,G2 Esports,GIANTX,G2 Esports,1504,11100,1253
LEC Summer Playoffs 2023,52540,2023-07-29,GIANTX,Fnatic,GIANTX,1721,18300,3628
LEC Summer Playoffs 2023,52342,2023-07-28,Fnatic,Team Heretics,Team Heretics,1861,-4400,-1745
LEC Summer Playoffs 2023,52337,2023-07-24,G2 Esports,GIANTX,G2 Esports,1871,17000,4423
LEC Summer Playoffs 2023,52566,2023-07-30,G2 Esports,GIANTX,G2 Esports,2225,4600,1194
LEC Summer Playoffs 2023,52567,2023-07-30,GIANTX,G2 Esports,G2 Esports,1434,-15600,-1877
LEC Summer Playoffs 2023,52541,2023-07-29,Fnatic,GIANTX,GIANTX,1814,-18300,-4752
LEC Summer Playoffs 2023,52542,2023-07-29,Fnatic,GIANTX,Fnatic,2139,6200,-564
LEC Summer Playoffs 2023,52543,2023-07-29,GIANTX,Fnatic,GIANTX,1694,4600,-1418
LEC Summer Playoffs 2023,52343,2023-07-28,Fnatic,Team Heretics,Fnatic,1809,6600,-3448
LEC Summer Playoffs 2023,52344,2023-07-28,Team Heretics,Fnatic,Fnatic,1740,-11900,581
LEC Summer Playoffs 2023,52345,2023-07-28,Fnatic,Team Heretics,Fnatic,1576,11500,3074
LEC Summer Playoffs 2023,52338,2023-07-24,G2 Esports,GIANTX,GIANTX,1735,-14600,-1842
LEC Summer Playoffs 2023,52339,2023-07-24,G2 Esports,GIANTX,G2 Esports,2119,7500,191
LEC Summer Playoffs 2023,52340,2023-07-24,GIANTX,G2 Esports,GIANTX,1956,9800,-334
LEC Summer Playoffs 2023,52341,2023-07-24,G2 Esports,GIANTX,G2 Esports,2310,9900,108
LEC Season Finals 2023,53422,2023-09-10,G2 Esports,Fnatic,G2 Esports,1657,9400,1460
LEC Season Finals 2023,53417,2023-09-09,Movistar KOI,Fnatic,Fnatic,1465,-11900,
LEC Season Finals 2023,53372,2023-09-03,G2 Esports,Movistar KOI,G2 Esports,1246,14700,7490
LEC Season Finals 2023,53367,2023-09-02,Team BDS,Fnatic,Team BDS,1800,12500,2679
LEC Season Finals 2023,53293,2023-08-27,GIANTX,Fnatic,Fnatic,1778,-11300,-1286
LEC Season Finals 2023,53288,2023-08-26,Team BDS,SK Gaming,Team BDS,2521,800,822
LEC Season Finals 2023,52618,2023-08-20,G2 Esports,Team BDS,G2 Esports,2022,15600,3941
LEC Season Finals 2023,52613,2023-08-19,Movistar KOI,GIANTX,Movistar KOI,1670,5900,-660
LEC Season Finals 2023,53423,2023-09-10,Fnatic,G2 Esports,G2 Esports,1529,-12000,-8977
LEC Season Finals 2023,53424,2023-09-10,G2 Esports,Fnatic,Fnatic,1786,-8500,242
