role,tier,champion,opponent,winrate
support,master_plus,Taric,Lulu,45.71
support,master_plus,Taric,Nami,50.0
support,master_plus,Taric,Others,50.0
support,master_plus,Taric,Rakan,62.5
support,master_plus,Taric,Thresh,50.0
support,master_plus,Thresh,Alistar,45.51
support,master_plus,Thresh,Bard,45.92
support,master_plus,Thresh,Blitzcrank,52.73
support,master_plus,Thresh,Braum,46.6
support,master_plus,Thresh,Elise,54.0
support,master_plus,Thresh,Janna,45.3
support,master_plus,Thresh,Karma,53.85
support,master_plus,Thresh,Leona,53.66
support,master_plus,Thresh,Lulu,57.87
support,master_plus,Thresh,Lux,56.67
support,master_plus,Thresh,Mel,60.61
support,master_plus,Thresh,Milio,56.52
support,master_plus,Thresh,Morgana,50.51
support,master_plus,Thresh,Nami,49.77
support,master_plus,Thresh,Nautilus,56.19
support,master_plus,Thresh,Neeko,51.11
support,master_plus,Thresh,Others,50.0
support,master_plus,Thresh,Pantheon,51.02
support,master_plus,Thresh,Poppy,46.25
support,master_plus,Thresh,Pyke,47.62
support,master_plus,Thresh,Rakan,52.59
support,master_plus,Thresh,Rell,52.41
support,master_plus,Thresh,Senna,57.58
support,master_plus,Thresh,Seraphine,66.67
support,master_plus,Thresh,Sona,46.38
support,master_plus,Thresh,Soraka,48.42
support,master_plus,Thresh,Swain,51.52
support,master_plus,Thresh,Taric,50.0
support,master_plus,Thresh,Vel'Koz,56.76
support,master_plus,Thresh,Yuumi,56.14
support,master_plus,Thresh,Zilean,46.3
support,master_plus,Thresh,Zyra,43.59
support,master_plus,Vel'Koz,Bard,38.89
support,master_plus,Vel'Koz,Karma,46.43
support,master_plus,Vel'Koz,Lulu,69.44
support,master_plus,Vel'Koz,Milio,54.29
support,master_plus,Vel'Koz,Nami,61.54
support,master_plus,Vel'Koz,Nautilus,52.5
support,master_plus,Vel'Koz,Others,50.0
support,master_plus,Vel'Koz,Thresh,43.24
support,master_plus,Xerath,Karma,51.52
support,master_plus,Xerath,Others,50.0
